,Name,Continent,Country,Min_Altitude,Max_Altitude,Total_ski_routes,Easy,Intermediate,Difficult,Aditional_Routes,Lifts,Adults,Current_season_start,Current_season_finish,General_season_start,General_season_finish,Opening_time,Closing_time
151,Myrkdalen,Europe, Norway,450,1060,29.0,12.5,12.0,4.5,,8.0,47.0, 2021-11-20,2022-05-01, mid November,late April, 09:30,16:00
152,Val Cenis   Lanslevillard/Lanslebourg/Termignon,Europe,error,1300,2800,125.0,73.0,42.0,10.0,,29.0,41.0, 2021-12-03,2022-04-18, mid December,mid April, 09:00,16:00
153,Les Contamines/Hauteluce,Europe,error,1164,2437,120.0,40.0,60.0,20.0,,24.0,44.4, 2021-12-17,2022-04-18, mid December,early April, 09:00,16:00
154,Les 7 Laux   Prapoutel/Le Pleynet/Pipay,Europe,error,1350,2400,120.0,46.0,36.0,38.0,,22.0,36.5, 2021-11-27,2022-04-18, mid December,early April, 09:00,16:30
155,Sillian   Thurntaler (Hochpustertal),Europe,error,1100,2407,21.7,5.6,15.0,1.1,0.7,7.0,52.0, 2021-12-08,2022-04-03, early December,late March, 08:30,16:30
156,Riesneralm   Donnersbachwald,Europe, Austria,973,1820,32.5,20.5,9.0,3.0,,7.0,44.0,,, early December,early April, 09:00,16:00
157,Brandnertal   Brand/Bürserberg,Europe, Austria,904,2000,52.0,23.0,28.0,1.0,13.0,14.0,53.0, 2021-12-04,2022-04-18, depending on snow conditions,late March, 08:30,16:30
158,Bad Kleinkirchheim,Europe, Austria,1087,2055,103.0,18.0,77.0,8.0,5.0,22.0,52.5, 2021-12-03,2022-04-03, early December,early April, 09:00,16:00
159,Brigels/Waltensburg/Andiast,Europe, Switzerland,1102,2418,40.0,11.0,26.0,3.0,,10.0,55.0, 2021-12-11,2022-04-03, mid December,early May, 08:30,16:00
160,Meiringen Hasliberg,Europe, Switzerland,1055,2433,60.0,20.0,34.0,6.0,,13.0,54.0, 2021-12-11,2022-04-18, mid December,early April, 08:30,16:15
161,La Clusaz/Manigod,Europe, France,1050,2485,125.0,67.0,42.0,16.0,,49.0,43.0, 2021-11-27,2022-04-24, mid December,mid April, 09:00,16:15
162,Espace Villard Corrençon   Villard de Lans/Corrençon en Vercors,Europe,error,1050,2050,125.0,50.0,50.0,25.0,,21.0,38.0, 2021-12-11,2022-04-18, mid December,early April, 09:00,17:00
163,Grimentz/Zinal,Europe, Switzerland,1570,2900,115.0,26.5,58.6,29.9,,20.0,62.0, 2021-11-20,2022-04-24, mid November,early April, 09:00,16:30
164,Filzmoos,Europe, Austria,970,1591,20.0,9.0,10.0,1.0,,8.0,52.0, 2021-12-04,2022-04-10, early December,early April, 09:00,16:00
165,Ifen,Europe, Austria,1270,2030,22.6,12.0,6.9,3.7,1.2,4.0,52.5, 2021-12-17,2022-04-24, mid December,mid April, 08:30,16:00
166,Christlum   Achenkirch,Europe, Austria,950,1800,27.0,6.0,16.0,5.0,,11.0,49.0, 2021-12-03,2022-04-03, mid December,early May, 08:45,16:00
167,Loser   Altaussee,Europe, Austria,850,1800,34.0,21.0,12.0,1.0,,8.0,45.0, 2021-12-04,2022-04-18, early December,mid April, 09:00,16:00
168,Pyhä,Europe, Finland,220,500,11.4,5.0,4.4,2.0,,8.0,46.5, 2021-11-19,2022-05-01, mid November,early May, 09:30,18:00Limited opening times during the week
169,Golm,Europe, Deutschland,650,2100,26.7,13.3,11.9,1.5,17.9,9.0,51.5,,, early December,mid April, 08:15,16:00
170,Lindvallen/Högfjället (Sälen),Europe,error,579,887,42.0,22.0,17.0,3.0,,49.0,,,, mid November,early April, 09:00,16:00
171,Val Senales Glacier (Schnalstaler Gletscher),Europe, Italia,2011,3212,42.0,10.0,18.0,14.0,,11.0,48.0, 2021-09-17,2022-04-18, mid September,mid April, 09:00,16:30
172,Spieljoch   Fügen,Europe, Austria,650,2054,17.1,3.6,10.8,2.7,4.0,7.0,61.0, 2021-12-17,2022-04-03, early December,early May, 08:30,16:30
173,Flachauwinkl/Kleinarl (Shuttleberg),Europe, Austria,1000,1980,28.0,19.0,7.0,2.0,12.0,,, 2021-12-04,2022-04-18, early December,depending on snow conditions, 08:45,16:15
174,Sierra Nevada   Pradollano,Europe, España,2100,3282,107.0,50.0,49.0,7.8,,17.0,52.0, 2021-12-04,2022-04-18, late November,early May, 09:00,16:45
175,Sudelfeld   Bayrischzell,Europe, Deutschland,850,1563,31.1,9.8,16.6,4.7,1.9,12.0,42.0,,, depending on snow conditions,mid April, 08:30,16:30
176,Sulden am Ortler (Solda all'Ortles),Europe,error,1900,3250,44.0,17.0,13.0,14.0,,10.0,46.0, 2021-10-22,2022-05-01, depending on snow conditions,early May, 08:30,16:00
177,Diedamskopf   Schoppernau,Europe, Austria,820,2060,40.0,13.0,18.0,9.0,,9.0,48.0,,, mid December,mid April, 08:45,16:15
178,Dundret Lapland   Gällivare,Europe,error,420,750,12.0,6.0,3.0,3.0,,5.0,35.0, 2021-11-20,2022-05-01, early November,early April, 10:00,16:00
179,Gargellen,Europe, Austria,1423,2300,28.1,20.8,5.3,2.0,5.5,8.0,51.0, 2021-12-03,2022-04-18, early December,early April, 08:30,16:00
180,Bergeralm   Steinach am Brenner,Europe, Austria,1048,2180,29.0,10.0,10.0,9.0,1.0,5.0,42.4, 2021-12-04,2022-04-18, mid December,early May, 08:30,16:30
181,Madrisa (Davos Klosters),Europe, Switzerland,1142,2602,26.0,6.9,9.9,9.2,6.0,7.0,57.0, 2021-12-17,2022-04-18, mid December,mid April, 08:15,16:00
182,Hovden,Europe, Sweeden,822,1183,34.4,19.1,13.2,2.1,,8.0,54.0, 2021-11-20,2022-05-01, mid November,early April, 09:30,15:30
183,Grosseck/Speiereck   Mauterndorf/St. Michael,Europe, Austria,1095,2400,50.0,26.0,17.0,7.0,,10.0,45.0, 2021-12-03,2022-04-18, early December,mid April, 09:00,16:30
184,Oberjoch (Bad Hindelang)   Iseler,Europe, Deutschland,1130,1559,32.0,6.0,24.0,2.0,6.0,5.0,42.0, 2021-12-04,2022-04-03, mid December,mid April, 08:30,16:15
185,Crans Montana,Europe, Switzerland,1510,2927,140.0,55.0,70.0,15.0,,19.0,82.0, 2021-11-13,2022-04-24, mid November,mid April, 08:45,16:15
186,Rauriser Hochalmbahnen   Rauris,Europe,error,950,2175,32.5,15.0,12.5,5.0,5.0,10.0,46.5,,, mid December,mid April, 09:00,16:00
187,See,Europe, Austria,1040,2456,41.0,8.0,25.0,8.0,,7.0,44.0, 2021-12-18,2022-04-18, mid December,early April, 08:30,16:00
188,of Špindlerův Mlýn,Europe, Czech_Republic,702,1235,27.8,10.0,15.9,1.9,,,, 2021-12-04,2022-04-18, early December,mid May, 08:30,16:00
189,Grand Tourmalet/Pic du Midi   La Mongie/Barèges,Europe,error,1250,2500,100.0,58.0,35.0,7.0,,29.0,46.0, 2021-12-11,2022-04-18, early November,mid April, 09:00,16:00
190,Kaunertal Glacier (Kaunertaler Gletscher),Europe,error,2150,3113,23.3,14.8,5.5,3.0,36.0,7.0,55.0, 2021-09-25,2022-06-05, late September,late March, 08:30,16:00
191,Disentis,Europe, Switzerland,1227,2833,60.0,20.0,30.0,10.0,,12.0,57.0, 2021-12-11,2022-04-18, mid December,late March, 08:15,16:00
192,Berwang/Bichlbach/Rinnen,Europe,error,1067,1743,36.0,19.2,15.2,1.6,,13.0,51.0,,, mid December,early April, 09:00,16:30
193,Meran 2000,Europe, Italia,1609,2350,40.0,12.0,25.0,3.0,,7.0,46.0, 2021-12-04,2022-03-20, early December,mid April, 09:00,17:00
194,Les Houches/Saint Gervais   Prarion/Bellevue (Chamonix),Europe,error,1000,1900,55.0,25.0,25.0,5.0,,15.0,46.0, 2021-12-04,2022-04-18, early December,early April, 08:30,16:30
195,Kappl,Europe, Austria,1180,2690,40.0,10.0,25.0,5.0,2.0,6.0,44.0, 2021-12-24,2022-04-18, mid December,early April, 08:30,16:00
196,Lachtal,Europe, Austria,1600,2222,26.2,7.2,16.0,3.0,10.0,10.0,47.0, 2021-12-04,2022-04-18, early December,mid April, 09:00,16:00
197,Hörnerbahn   Bolsterlang,Europe, Deutschland,894,1665,17.0,8.0,7.0,2.0,3.0,5.0,43.0, 2021-11-27,2022-04-18, late November,mid April, 08:30,16:00
198,Isola 2000,Europe, France,1800,2603,120.0,75.0,35.0,10.0,,20.0,35.0, 2021-12-04,2022-04-18, early December,early April, 09:00,17:00
199,Brévent/Flégère (Chamonix),Europe, France,1030,2525,56.0,11.0,25.0,20.0,,17.0,57.0, 2021-11-27,2022-04-24, early December,mid May, 08:50,16:30
200,Gerlitzen,Europe, Austria,1000,1911,45.1,9.1,30.0,6.0,15.0,20.0,52.0, 2021-12-03,2022-04-03, early December,early April, 08:15,17:00
201,Moelltal Glacier (Mölltaler Gletscher),Europe,error,2108,3122,17.4,5.2,7.2,5.0,6.7,9.0,49.0, 2021-05-22,2022-05-08, mid June,mid April, 08:00,16:30
202,Schwemmalm,Europe, Austria,1505,2625,20.5,6.3,11.7,2.5,5.0,6.0,43.5, 2021-12-04,2022-04-18, mid December,mid April, 08:30,17:00
203,Pal/Arinsal   La Massana (Vallnord),Europe, Andorra,1550,2560,63.0,31.0,24.0,8.0,,23.0,42.0, 2021-12-04,2022-04-18, early December,mid April, 09:00,17:00
204,Dévoluy   Superdévoluy/La Joue du Loup,Europe,error,1500,2500,100.0,55.0,35.0,10.0,,21.0,37.5, 2021-12-11,2022-04-10, mid December,late April, 09:30,17:00
205,Les Orres,Europe, France,1550,2720,100.0,30.0,60.0,10.0,,17.0,38.0, 2021-12-04,2022-04-18, mid December,early April, 09:00,16:30
206,Skeikampen   Gausdal,Europe, Norway,774,1123,21.0,8.0,11.0,2.0,,9.0,40.0, 2021-11-27,2022-04-18, mid November,early April, 09:30,16:00
207,of Hochficht,Europe, Austria,866,1338,20.1,9.1,10.0,1.0,3.0,9.0,42.0, 2021-12-03,2022-03-27, mid December,early April, 08:30,16:00
208,Grossglockner Heiligenblut,Europe, Austria,1301,2989,55.0,20.0,34.0,1.0,11.5,12.0,48.0, 2021-12-10,2022-04-03, early December,late April, 09:00,16:00
209,Zettersfeld   Lienz,Europe, Austria,1660,2278,21.0,7.9,11.5,1.6,2.7,6.0,52.0, 2021-12-08,2022-03-27, early December,mid April, 09:00,16:00
210,Bardonecchia,Europe, Italia,1312,2800,100.0,54.0,38.0,8.0,,17.0,38.0, 2021-11-27,2022-04-18, early December,mid April, 09:00,17:00
211,Chamrousse,Europe, France,1400,2250,90.0,45.0,35.0,10.0,,15.0,36.5, 2021-12-03,2022-04-18, early December,early April, 09:00,17:00
212,Orcières Merlette 1850,Europe, France,1850,2725,100.0,55.0,38.0,7.0,,28.0,37.0, 2021-12-04,2022-04-24, mid December,late April, 09:00,16:30
213,Cerler,Europe, España,1505,2630,81.0,37.0,29.0,15.0,,13.0,46.5, 2021-12-04,2022-04-18, early December,mid April, 09:00,16:30
214,Pfelders (Moos in Passeier),Europe, Italia,1601,2502,18.0,5.0,9.0,4.0,3.0,4.0,40.0, 2021-12-04,2022-04-24, early December,early April, 09:00,16:30
215,Brauneck   Lenggries/Wegscheid,Europe,error,700,1712,31.6,3.5,20.7,7.4,,15.0,41.0,,, early December,late Marchearly July - late August, 08:15,16:30
216,Savognin,Europe, Switzerland,1200,2713,73.5,32.5,38.0,3.0,,12.0,56.0, 2021-12-18,2022-04-03, early December,early April, 08:30,16:00
217,Grüsch Danusa,Europe, Switzerland,600,1800,32.0,6.0,20.0,6.0,,6.0,51.0, 2021-12-04,2022-04-03, late November,mid April, 08:30,16:45
218,Rosa Khutor,Europe, Russia,940,2509,102.0,62.0,24.0,16.0,,27.0,38.0, 2021-12-11,2022-04-18, early December,late May, 08:45,15:45
219,Auron (Saint Etienne de Tinée),Europe, France,1600,2450,135.0,58.0,45.0,32.0,,16.0,35.0, 2021-12-11,2022-03-20, early December,late March, 09:00,17:00
220,Gemsstock   Andermatt,Europe, Switzerland,1444,2961,31.0,0.0,14.0,17.0,6.0,4.0,82.0, 2021-10-30,2022-05-01, late October,early May, 08:30,16:00
221,Rosshütte   Seefeld,Europe, Austria,1230,2064,12.3,6.3,4.1,1.9,,14.0,48.0,,, early December,late March, 08:30,16:30
222,Vemdalsskalet,Europe, Sweeden,592,946,18.0,5.0,8.0,5.0,,10.0,,,, early November,mid Novembermid December - early May, 09:00,16:30
223,Zuoz   Pizzet/Albanas,Europe,error,1720,2465,15.0,9.0,3.0,3.0,1.0,5.0,35.0, 2021-12-18,2022-03-20, mid December,early April, 09:15,16:00
224,Diavolezza/Lagalb,Europe, Switzerland,2091,3006,35.0,0.0,27.0,8.0,10.0,,, 2021-10-23,2021-11-26, mid October,depending on snow conditions, 08:00,17:00
225,Szczyrk Mountain Resort,Europe, Poland,524,1257,36.6,22.4,9.8,4.4,,,, 2021-12-04,2022-04-03, early December,early April, 08:30,16:00
226,Mondolè Ski   Artesina/Frabosa Soprana/Prato Nevoso,Europe,error,807,2085,105.0,42.7,51.0,11.6,,19.0,35.0, 2021-12-04,2022-04-18, depending on snow conditions,early April, 08:30,17:00
227,Alto Sangro   Roccaraso/Rivisondoli,Europe,error,1309,2141,90.5,37.0,32.6,20.9,,24.0,,,, early December,mid April, 08:30,16:30
228,Saint Lary Soulan,Europe, France,1597,2515,100.0,60.0,30.0,10.0,,26.0,45.0, 2021-12-03,2022-04-03, early December,early March, 09:00,17:30
229,Vent,Europe, Austria,1900,2646,15.0,5.0,10.0,0.0,,4.0,39.5, 2021-12-18,2022-04-18, late February,early April, 09:30,16:00
230,Splügen   Tambo,Europe, Switzerland,1484,2215,30.0,12.0,12.0,6.0,,7.0,48.0, 2021-12-04,2022-03-27, early December,mid April, 08:30,16:00
231,Malbun,Europe, Liechtenstein,1600,2000,23.0,11.0,9.0,3.0,,7.0,45.0, 2021-12-11,2022-04-18, mid December,early May, 08:30,16:00
232,Feldberg   Seebuck/Grafenmatt/Fahl,Europe,error,888,1448,30.0,11.0,14.0,5.0,,14.0,43.0, 2021-12-04,2022-04-18, depending on snow conditions,mid April, 09:00,16:30
233,Grands Montets   Argentière (Chamonix),Europe, France,1252,2765,29.0,6.0,9.0,14.0,,8.0,57.0, 2021-11-20,2022-05-01, depending on snow conditions,late March, 08:30,16:40
234,Ordino Arcalís,Europe, Andorra,1940,2625,30.0,13.0,14.0,3.0,,15.0,39.5, 2021-12-04,2022-04-18, depending on snow conditions,late April, 09:00,16:45
235,Garmisch Classic   Garmisch Partenkirchen,Europe, Deutschland,740,2050,40.0,12.0,18.0,10.0,3.0,18.0,47.5, 2021-12-11,2022-04-03, early December,late April, 08:30,16:15
236,Venet   Landeck/Zams/Fliess,Europe, Austria,780,2212,22.0,6.0,15.0,1.0,2.0,7.0,40.5, 2021-12-18,2022-03-27, mid December,early April, 09:00,16:20
237,Gaustablikk   Rjukan,Europe,error,550,1250,34.0,22.0,8.0,4.0,2.0,12.0,50.0, 2021-11-20,2022-04-18, late October,mid April, 09:00,16:00
238,Bellwald,Europe, Switzerland,1600,2558,36.0,9.0,21.0,6.0,3.0,5.0,51.0, 2021-12-11,2022-04-18, mid December,late April, 09:00,16:15
239,of Sportgastein,Europe, Austria,1585,2650,18.2,3.5,13.2,1.5,7.7,,, 2021-12-08,2022-04-18, early December,late April, 09:00,16:00
240,Ax 3 Domaines   Ax les Thermes,Europe, France,1380,2346,80.0,40.0,25.0,15.0,,19.0,38.5, 2021-12-04,2022-04-24, mid December,mid April, 09:00,17:00
241,Le Grand Bornand,Europe, France,1000,2100,86.0,49.0,29.0,8.0,,24.0,39.3, 2021-12-04,2022-04-24, early December,late April, 09:00,17:00
242,Villars/Gryon/Les Diablerets,Europe, Switzerland,1224,2120,84.0,43.0,38.0,3.0,,25.0,65.0, 2021-12-04,2022-04-18, early December,mid April, 08:30,16:30
243,Puy Saint Vincent,Europe, France,1407,2677,75.0,28.0,34.0,13.0,,12.0,35.5, 2021-12-18,2022-04-18, mid December,mid April, 09:00,16:00
244,Valfréjus,Europe, France,1550,2737,70.0,40.0,20.0,10.0,,8.0,33.0, 2021-12-04,2022-04-18, mid December,mid April, 09:00,16:00
245,Spitzingsee Tegernsee,Europe, Deutschland,980,1580,14.7,2.2,8.2,4.3,,10.0,37.0,,, early December,late April, 08:30,16:20
246,Rifflsee,Europe, Austria,1640,2800,19.0,4.0,10.0,5.0,,6.0,40.0, 2021-12-11,2022-04-18, early December,late April, 09:00,16:00
247,Tatranská Lomnica,Europe, Slovakia,888,2190,11.8,5.4,5.2,1.2,0.4,8.0,49.0, 2021-11-27,2022-04-24, early December,early April, 08:30,15:30
248,Weissee Gletscherwelt   Uttendorf,Europe,error,1482,2600,23.0,6.0,15.0,2.0,2.0,8.0,40.0, 2021-12-11,2022-04-18, mid December,mid April, 09:00,16:15
249,Werfenweng,Europe, Austria,902,1834,29.0,13.0,15.0,1.0,,9.0,44.0, 2021-12-04,2022-04-18, depending on snow conditions,late March, 08:30,16:00
250,Bormio   Cima Bianca,Europe, Italia,1225,3012,50.0,14.0,34.0,2.0,,11.0,44.0, 2021-11-27,2022-04-24, early December,mid April, 08:30,17:00
251,Eggli/La Videmanette   Gstaad/Saanen/Rougemont,Europe,error,992,2151,58.0,35.2,17.4,5.4,,9.0,71.0, 2021-12-18,2022-03-27, mid December,early April, 09:00,16:30
252,Belalp   Blatten,Europe, Switzerland,1322,3118,60.0,20.0,20.0,20.0,9.0,11.0,54.0, 2021-12-11,2022-04-18, mid December,late March, 09:00,16:00
253,Les Portes du Mont Blanc   Combloux/Megève le Jaillet/La Giettaz,Europe,error,1113,1835,85.0,28.0,50.0,7.0,,23.0,,,, mid December,early April, 08:45,16:45
254,Rinerhorn (Davos Klosters),Europe,error,1454,2490,51.5,15.6,23.1,12.8,6.0,7.0,54.0, 2021-12-18,2022-03-27, mid December,mid April, 08:30,16:30
255,Walmendingerhorn/Heuberg   Mittelberg/Hirschegg,Europe, Austria,1070,1946,33.7,19.5,11.9,2.3,4.6,14.0,52.5, 2021-12-17,2022-04-18, early December,early April, 08:30,16:00
256,Piau Engaly,Europe, France,1408,2528,65.0,35.0,22.0,8.0,,11.0,38.5, 2021-12-11,2022-04-17, early December,mid March, 09:00,17:00
257,Grächen,Europe, Switzerland,1619,2864,44.0,9.0,33.0,2.0,,11.0,52.0, 2021-12-18,2022-04-18, mid December,late May, 08:30,16:00
258,Lavarone,Europe, Italia,1174,1600,30.4,22.4,6.0,2.0,,8.0,37.0, 2021-12-04,2022-03-27, early December,mid March, 09:00,16:30
259,Riksgränsen,Europe, Sweeden,520,909,21.0,10.0,10.0,1.0,,6.0,40.0, 2022-02-25,2022-05-22, late February,early April, 09:00,16:00
260,Muttereralm   Mutters/Götzens,Europe, Austria,920,1800,16.0,7.0,8.0,1.0,,4.0,38.5, 2021-12-11,2022-03-27, mid December,mid April, 09:00,16:00
261,Wurzeralm   Spital am Pyhrn,Europe, Austria,810,1870,22.5,10.5,10.0,2.0,,8.0,48.0, 2021-12-04,2022-04-03, early December,mid April, 08:30,16:30
262,Valberg/Beuil les Launes,Europe,error,1412,2020,90.0,45.0,35.0,10.0,,23.0,33.2,,, early December,mid April, 09:00,17:00
263,Anzère,Europe, Switzerland,1500,2420,58.0,12.0,37.0,9.0,6.0,10.0,54.0, 2021-12-11,2022-04-18, mid December,mid April, 08:45,16:00
264,Kopaonik,Europe, Serbia,1057,2017,55.0,30.0,19.0,6.0,,23.0,33.0, 2021-12-03,2022-04-18, early December,mid April, 08:30,15:30
265,La Norma,Europe, Italia,1350,2750,65.0,17.0,43.0,5.0,,12.0,33.0, 2021-12-11,2022-04-18, mid December,early May, 09:00,16:30
266,Aprica,Europe, Italia,1162,2270,50.0,28.3,14.0,7.7,,11.0,42.0, 2021-11-27,2022-04-18, early December,early April, 08:10,16:30
267,Bukovel,Europe, Ukraine,859,1372,68.0,29.0,28.0,11.0,,16.0,35.0, 2021-11-27,2022-05-01, late November,late April, 08:30,19:30
268,Peyragudes,Europe, France,1600,2400,60.0,30.0,26.0,4.0,,16.0,42.0, 2021-12-11,2022-04-17, early December,early April, 09:00,16:45
269,of Tärnaby in the historic Swedish province of Lapland in northern Sweden,Europe,error,439,789,20.0,10.0,9.0,1.0,,5.0,42.0, 2021-11-13,2022-05-01, late October,depending on snow conditions, 09:00,16:00
270,Oslo   Tryvann (Skimore),Europe,error,150,531,9.6,5.0,2.6,2.0,,9.0,45.0, 2021-11-27,2022-04-18, late November,mid April, 10:00,17:00
271,Donovaly (Park Snow),Europe, Slovakia,914,1361,11.0,5.0,5.9,0.1,,16.0,32.0, 2021-12-04,2022-04-03, early December,early April, 08:30,15:30
272,Fanningberg,Europe, Austria,1497,2115,24.0,11.1,5.8,7.1,0.8,5.0,45.0, 2021-12-04,2022-04-18, early December,early May, 09:00,16:00
273,Hahnenkamm   Höfen/Reutte,Europe, Austria,854,1900,16.0,5.0,9.0,2.0,,4.0,38.5, 2021-12-04,2022-04-18, mid December,early April, 08:30,16:00
274,Nebelhorn   Oberstdorf,Europe, Deutschland,828,2224,11.9,2.8,5.1,4.0,,6.0,52.5, 2021-12-10,2022-05-01, mid December,early April, 08:30,16:30
275,Balderschwang   Hochschelpen/Riedberger Horn,Europe, Deutschland,1000,1500,34.0,15.2,13.8,5.0,2.2,13.0,34.0, 2021-12-04,2022-04-18, mid December,mid April, 09:00,16:00
276,Ankogel   Mallnitz,Europe, Austria,1266,2636,12.8,2.8,5.0,5.0,,5.0,50.0, 2021-12-18,2022-04-18, mid December,mid April, 08:30,16:30
277,Aussois,Europe, France,1500,2750,55.0,30.0,22.0,3.0,,7.0,32.0, 2021-12-11,2022-04-18, mid December,early April, 09:00,17:00
278,Pila,Europe, Poland,1540,2740,50.3,8.3,35.5,6.5,,12.0,46.0, 2021-12-04,2022-04-18, late November,early April, 08:30,16:45
279,Arêches (Beaufort),Europe, France,1080,2300,50.0,15.0,20.0,15.0,,12.0,32.0, 2021-12-18,2022-04-18, mid December,early April, 09:00,16:30
280,Sörenberg   Rothorn/Dorf,Europe, Switzerland,1100,2350,60.0,30.0,15.0,15.0,,16.0,50.0, 2021-12-11,2022-03-27, mid December,early April, 08:30,16:30
281,Luz Ardiden,Europe, France,1680,2500,60.0,25.0,30.0,5.0,,7.0,36.0, 2021-12-18,2022-04-03, early December,late March, 09:00,17:00
282,Riserva Bianca   Limone Piemonte,Europe, Italia,1046,2060,52.0,7.0,28.0,17.0,,14.0,35.0, 2021-11-27,2022-04-18, mid December,late March, 09:00,16:00
283,Laterns   Gapfohl,Europe, Austria,1040,1785,27.0,8.0,15.0,4.0,11.0,5.0,39.0, 2021-12-04,2022-03-27, late November,early May, 08:45,16:15
284,Alpenpark Neuss,Europe, Deutschland,60,110,0.4,0.3,0.1,0.0,,3.0,45.0, Year-round__,, Year-round__,early April, 08:30,21:00
285,Bürchen/Törbel   Moosalp,Europe, Switzerland,1480,2550,25.0,5.0,15.0,5.0,,9.0,45.0, 2021-12-18,2022-03-20, mid December,late April, 09:00,16:00
286,of Björkliden,Europe, Sweeden,420,920,15.0,6.0,7.0,2.0,,5.0,,,, early February,early April, 09:00,16:00
287,Białka Tatrzańska   Kotelnica/Kaniówka/Bania,Europe,error,680,910,18.3,14.4,3.9,0.0,,19.0,25.0, 2021-11-27,2022-04-18, early December,mid March, 09:00,21:00
288,Gålå,Europe, Norway,800,1148,19.0,13.0,5.0,1.0,,7.0,40.0, 2021-11-27,2022-04-18, mid November,depending on snow conditions, 09:00,16:00
289,Ramsau am Dachstein   Rittisberg,Europe, Austria,1035,1636,25.0,14.0,10.0,1.0,,9.0,39.5, 2021-12-08,2022-03-27, mid December,early April, 09:00,16:00
290,Grebenzen   St. Lambrecht,Europe, Austria,1010,1870,12.2,2.9,9.0,0.3,13.0,8.0,38.0, 2021-12-11,2022-04-03, early December,early April, 09:00,16:00
291,Jahorina,Europe, Bosnia,1300,1916,47.0,20.0,15.0,12.0,,12.0,28.0, 2021-11-27,2022-04-24, early December,early April, 09:00,16:00
292,Font Romeu/Bolquère Pyrénées 2000,Europe,error,1650,2213,58.0,30.0,19.0,9.0,,21.0,41.5, 2021-12-11,2022-04-18, early December,mid April, 09:00,17:00
293,Sainte Foy Tarentaise,Europe, France,1550,2620,43.0,10.0,27.0,6.0,,4.0,33.4, 2021-12-11,2022-04-18, mid December,late March, 09:00,17:00
294,Melchsee Frutt (Kerns),Europe, Switzerland,1080,2225,36.0,20.0,6.0,10.0,,11.0,51.0, 2021-12-18,2022-04-10, mid December,early April, 08:25,17:30
295,Cimone   Montecreto/Sestola/Le Polle,Europe,error,900,1976,50.0,15.0,25.0,10.0,,19.0,38.0, 2021-12-04,2022-04-03, late November,early April, 08:30,17:00
296,Monte Popolo   Eben im Pongau,Europe, Austria,862,1612,6.0,4.0,2.0,0.0,,4.0,41.0, 2021-12-11,2022-03-27, mid December,late March, 08:30,16:00
297,Söllereck   Oberstdorf,Europe, Deutschland,820,1450,13.4,7.2,6.2,0.0,,5.0,42.5, 2021-12-17,2022-04-03, mid December,early April, 09:00,16:00
298,Keilberg (Klínovec),Europe, Czech_Republic,763,1244,31.5,17.3,10.5,3.7,,16.0,34.0, 2021-12-11,2022-04-03, early December,depending on snow conditions, 08:30,16:00
299,Nesselwang   Alpspitze (Alpspitzbahn),Europe,error,900,1463,8.0,6.0,2.0,0.0,0.7,8.0,34.5, 2021-12-04,2022-03-27, mid December,mid March, 09:00,16:00
300,Feuerkogel   Ebensee,Europe, Austria,443,1625,10.6,6.5,3.1,1.0,6.0,8.0,42.3, 2021-12-18,2022-04-03, mid December,late March, 08:30,16:00
301,Buchensteinwand (Pillersee)   St. Ulrich am Pillersee/St. Jakob in Haus/Hochfilzen,Europe, Austria,855,1456,21.2,8.0,10.2,3.0,2.5,9.0,40.0, 2021-12-17,2022-04-03, late December,early April, 09:00,16:00
302,Mitterdorf (Almberg)   Mitterfirmiansreut,Europe,error,841,1139,5.0,2.5,1.9,0.6,,6.0,29.0, 2021-12-18,2022-03-27, mid December,early April, 09:00,16:00
303,Goldeck   Spittal an der Drau,Europe, Austria,547,2142,25.0,8.0,8.5,8.5,,5.0,44.0, 2021-12-17,2022-04-03, mid December,late April, 09:00,16:00
304,Betelberg   Lenk,Europe, Switzerland,1075,2001,42.0,21.7,19.4,0.9,,10.0,,,, mid December,late April, 08:30,16:30
305,Super Sauze,Europe, France,1400,2450,65.0,35.0,20.0,10.0,,21.0,31.0, 2021-12-04,2022-04-18, mid December,early April, 09:00,17:00
306,Les Karellis,Europe, France,1600,2520,60.0,26.0,25.0,9.0,,16.0,29.5, 2021-12-11,2022-04-18, mid December,late April, 09:00,16:30
307,Saint Luc/Chandolin (Anniviers),Europe, Switzerland,1655,2980,60.0,20.0,30.0,10.0,,12.0,54.0, 2021-12-18,2022-04-24, mid December,mid April, 09:00,16:15
308,Gourette (Eaux Bonnes),Europe, France,1350,2450,35.0,18.0,13.0,4.0,,9.0,38.0, 2021-12-11,2022-04-03, early December,early April, 08:45,17:00
309,Voss Resort,Europe, Scotland,284,964,45.0,25.0,8.0,12.0,3.0,11.0,47.0, 2021-12-04,2022-04-24, early December,depending on snow conditions, 09:30,16:00
310,Chäserrugg   Unterwasser/Alt St. Johann (Toggenburg),Europe,error,900,2262,50.0,8.0,40.0,2.0,2.0,12.0,57.0, 2021-12-04,2022-04-18, late November,mid April, 08:00,16:30
311,Les Angles,Europe, France,1600,2376,55.0,22.0,23.0,10.0,,17.0,41.5, 2021-11-27,2022-04-10, late November,late April, 09:00,16:00
312,St. Jean Montclar,Europe, France,1350,2500,50.0,25.0,20.0,5.0,,14.0,,,,,late April,,
